lipid,transition,type,I1-1,I1-2,I1-3,I1-4,I7-1,I7-2,I7-3,I7-4,S1-1,S1-2,S1-3,S1-4,S7-1,S7-2,S7-3,S7-4,Blank
Lyso_PC(19:0),538.3794 -> 184.1,PC,145112.451339787,76504.384155175,190038.332481421,139205.066116378,312806.719207766,254441.27987666,129519.771354706,230030.776657649,73134.1448669126,51908.064773527,25622.541961666,93761.708961447,89481.424789376,127792.766960119,112693.787780771,136878.670066781,9955.540679933
Lyso_PC(19:1),536.3638 -> 184.1,PC,182192.634666448,103703.228202784,328909.655246697,207588.268745409,436340.974105844,347708.163482636,193648.794265761,332290.389724694,99410.1860886159,65929.1439438092,28523.241622924,133082.526901283,119034.908882039,167524.13038638,140172.832962086,217007.713577271,11301.400787358
Lyso_PC(19:2),534.3481 -> 184.1,PC,190118.916061373,103137.005142199,360108.320998606,209068.377441433,443523.006309461,356726.827560943,188853.609535216,332446.642703484,99437.02684025,67707.205444392,28006.9622955354,137424.0299378,113605.366439872,170321.935760455,149010.369338898,235329.738007076,11708.5408248941
Lyso_PC(19:3),532.3325 -> 184.1,PC,180386.472671495,101005.367492576,366199.503402197,204717.275726803,418103.343734734,343545.061706014,187452.078033436,327145.962646955,97893.0273132208,63633.2233047695,28002.24199295,132161.368774375,117712.191444344,164413.389556908,136452.54833983,226721.229297591,11661.7806854302
Lyso_PC(2:0),300.1134 -> 184.1,PC,20990.121200557,19991.201232914,13624.3611068693,25352.781402589,21934.341522215,19950.761428824,23128.56132507,17017.2412567105,18215.441436764,17817.761299131,17862.1015701389,19959.021301271,23996.0219802958,23058.601455683,16896.2610282772,22253.201660154,22234.1613998319
Lyso_PC(20:0),552.3951 -> 184.1,PC,73335.3255347676,43611.4836655452,137439.028549131,74047.7836073762,68170.444023151,56749.7437401092,56440.7239608703,64299.885147122,60115.5030441568,39756.7418327721,39569.7423705629,46989.0240554946,50607.524436982,52132.7026748702,65683.605758587,66451.4233092824,15752.7207260136
Lyso_PC(20:1),550.3794 -> 184.1,PC,22464.981544501,19284.60139466,124096.370544411,43267.1240844539,59735.4432372831,48227.1241912995,29233.2620697077,46909.843093811,27097.6420364399,16718.1813812175,11289.0809021036,31615.1625403558,22766.601623543,41099.822830145,37462.0027466,44957.1829375719,9769.2807006846
Lyso_PC(20:2),548.3638 -> 184.1,PC,23799.2616043139,23423.2613296549,125365.729751664,43556.5423736846,57526.9446410936,49021.363159246,28709.8423805664,45594.3429107098,25188.0016479381,15369.4611320533,12670.1209945744,30260.881347676,24312.3617095889,37605.222778311,36124.922470133,45244.0428924919,8062.6005020195
Lyso_PC(20:3),546.3481 -> 184.1,PC,22447.6413803099,21189.801624298,114438.887496914,43426.5429076448,53429.7630233319,45587.12322232,28809.2217597699,44272.623409308,23547.9417228657,13989.8209610025,12627.8010559016,28190.7620277483,23456.8815536538,35960.961929288,33439.8021316402,43150.7826309342,7665.7404747004
Lyso_PC(20:4),544.3325 -> 184.1,PC,19499.941665646,18736.1812667783,98742.3672257012,38652.7432555846,43300.9435577306,38192.8021468837,25722.742057803,37501.182739311,23145.2217483603,14016.2410125794,11473.4207840019,25171.6014480557,19113.3610534662,28413.9818191668,29790.182205202,37244.1433144126,9104.0605773906
Lyso_PC(20:5),542.3168 -> 184.1,PC,19744.821334834,17537.9812278786,82645.6473847343,34378.8223991258,37289.7224121203,31390.742408731,20319.8215484674,27964.5419463741,19877.6014480544,13201.8810463032,11297.3406639139,25469.602157587,17374.5012588486,22438.501892088,23940.861358634,27276.2222442636,7544.1805114705
Lyso_PC(21:0),566.4107 -> 184.1,PC,196460.151989036,98528.8492126786,141230.311798129,136076.065147401,81498.6876411937,92552.4873046843,111404.348350529,102857.665939333,123158.189956617,103882.345382643,100144.148975394,92116.5457306207,91313.2654112837,87826.9857864417,118167.706985423,109004.289039663,35241.2634124484
Lyso_PC(21:4),558.3481 -> 184.1,PC,170961.337226822,93745.8069381456,190708.092499259,139451.567932133,86082.8057708706,91905.7255401638,110913.449203486,106413.207168581,128137.04658508,102716.008232165,100026.484554321,76472.9453163073,90284.5257187415,84270.7867660741,117895.764488222,108161.288234664,37076.3625488875
Lyso_PC(22:0),580.4264 -> 184.1,PC,46376.8830031837,32489.1825752234,88135.2845496615,49842.6433334627,55339.3042793242,49201.4633064653,42029.5043602347,41327.5435791317,32006.9419326942,25405.4815215682,24806.5214767857,48726.2429580203,36214.1227760788,56737.8039779664,46465.042449889,52196.544250485,12101.2610435455
Lyso_PC(22:1),578.4107 -> 184.1,PC,49706.223533621,33087.6629448195,84114.1056365195,53351.8031386865,52827.043792756,51806.462844852,42427.903102955,41471.2829970712,32427.2622031984,24887.4016112972,24286.801727345,42291.503376016,30039.7622070823,53238.8836746052,46879.1041832182,54076.28453069,11111.2607421834
Lyso_PC(22:2),576.3951 -> 184.1,PC,63982.6620979309,38660.0227889515,85025.4278260112,58620.9434661887,58899.8250044973,59226.7847748034,46079.1434326573,43634.4025725912,38159.5419997649,33802.0029068032,35275.6414833582,45629.263576429,38009.2017135854,55420.4440535761,53444.7050399706,58850.8442879686,13433.0607643215
Lyso_PC(22:4),572.3638 -> 184.1,PC,192567.415710506,101770.76663976,138791.051712078,143883.251808217,79608.3875770294,113672.866226093,118797.247810311,94218.4267730743,132736.790782976,113257.305778557,119068.528518722,97895.6095123273,98394.1439094044,87773.8882980568,123501.711486813,121436.325431828,41355.543201408604
Lyso_PC(22:5),570.3481 -> 184.1,PC,192289.694786021,98112.3848038178,131884.167495775,139510.307079312,72152.8468856618,102787.447273209,116374.830192566,95029.846469877,134618.390506743,102689.168121311,109000.730972333,95879.0079574295,95823.9469642353,87170.3458709219,128693.786994938,109799.205402269,37764.2830047114
Lyso_PC(22:6),568.3325 -> 184.1,PC,183662.810432934,94735.4063110892,133523.068588216,131968.047119138,80951.5284651927,85968.6837196812,108208.367679597,100591.030181833,127059.966194153,101770.847579951,102711.727245276,97362.2238463893,89397.6071358014,84478.4850806544,120168.005516043,109921.708877563,37989.8032035953
Lyso_PC(24:0),608.4577 -> 184.1,PC,22870.4015998734,71263.484371186,32888.762100225,83669.106925975,122439.490348856,99836.1266937989,59486.0434685019,58888.58422849,16756.3011665282,15358.8211441,16109.4412460316,59848.0049896018,79976.266418479,116021.009124838,147470.610351577,83913.2042389738,9413.4807510417
Lyso_PC(24:1),606.442 -> 184.1,PC,23761.3622283898,72076.925338682,30548.2423477345,86384.405029251,117774.608978243,94048.125122012,59655.92340091,56579.864776665,16974.541107173,17052.4611129743,14987.6810531607,58659.8843040957,82310.18370822,109145.34658056,142560.547515916,79129.1062355736,10616.4406814542
Lyso_PC(3:0),314.129 -> 184.1,PC,15618.7412185684,11465.3408584547,8126.4004898059,22444.3018722572,18317.981311792,20255.261581417,23475.8817367462,22568.6216583187,13107.2409896867,12015.0809745775,12479.700744626,22656.4216575629,23629.901794425,25751.862373343,19404.321350102,25589.3815460196,13710.360908508
Lyso_PC(3:1),312.1134 -> 184.1,PC,15409.8612365756,10057.3607559206,8053.4205093388,18105.6212539654,15946.301185607,19818.521530149,21867.581535337,17862.6011428823,14310.4808731123,14272.2209854181,12435.5809555074,17895.7210693378,18977.921478268,20303.761604312,19411.8615493773,21622.3412704501,13584.8010788
Lyso_PC(4:0),328.1447 -> 184.1,PC,18996.781440733,12834.820953363,9187.9006500155,13889.721038818,15958.661193852,13940.580894466,11969.2408752481,13016.120864868,13641.700996403,12699.240859982,17108.8411026,13088.7608795119,16723.321151724,17453.521347045,15695.821014412,14203.781013475,13693.54102325
Lyso_PC(5:0),342.1603 -> 184.1,PC,31983.382308972,18402.861343403,14921.200881946,33952.281784072,45825.2226409922,26643.32173157,25317.221878044,21317.541229246,29984.502517705,25809.182006828,21286.081329341,88270.04402168,23776.841354369,28723.682189945,50002.423187276,42978.503677392,16144.161041263
Lyso_PC(6:0),356.176 -> 184.1,PC,12620.2408905065,9466.5606308006,8934.560596467,15025.6209831225,14119.3410263076,11683.120849606301,12336.280853266,10638.500774377,11181.4808540383,10384.6208038363,9416.520614621,15368.861206047,13712.3808288623,15329.6211319057,18578.961410515,13101.2810821509,11832.9808731036
Lyso_PC(7:0),370.1916 -> 184.1,PC,19462.641151429,15789.7810058629,9566.0405845662,17111.2215766943,16199.9612045196,16878.2813339305,16883.7413482629,17150.6609802232,13842.0609512361,21560.3015289323,19450.9210166921,19254.2813034038,18685.7815551767,17446.421112063,23088.4416122482,18008.5010757403,16883.521503447
Lyso_PC(8:0),384.2073 -> 184.1,PC,19516.2215919406,11097.3007736232,10263.6006736791,16979.3613052342,14613.861045834,16571.9410476753,15198.621109008,13605.2609558082,10552.6608123815,9599.8206710864,13760.5211029022,13182.8209609902,14586.281066897,17774.701347353,18085.861297612,15372.7411270152,9021.4005889898
Lyso_PC(9:0),398.2229 -> 184.1,PC,14164.0008087218,10683.4408035346,11941.6609535131,13822.5409698411,15337.661087031,14411.6609878549,14482.400878904,14742.0610160838,12084.0407829254,11545.7607688885,11857.8208084121,13633.101112372,14214.7610092111,18176.7213287348,20447.581573488,16756.081165317,10321.26074219
Lyso_Sphinganine-1-phosphocholine,467.3536 -> 184.1,SM,13724.2808990523,13012.9408111519,24315.9619827229,25251.6211852999,21971.101577755,24691.9622650066,21125.5417594904,23096.6810607798,12383.2409057655,10671.0807609511,11031.1408424325,17573.2013244659,20380.2014312685,25119.58160401,28107.9220123311,25987.5813941978,10511.720756536
Lyso_Sphingosine-1-phosphocholine,465.3379 -> 184.1,SM,13905.1210021982,13396.8409156825,25518.2617378226,21794.0417938217,18868.5014114348,20861.7817306667,19387.8414077749,20774.2615890486,12041.7607803431,11093.5206832826,11589.4608421336,17879.6211357159,18729.8811492965,21952.8013992309,26651.601989734,23059.242019661,10578.0407676657
PC (30:0),706.5 -> 184.1,PC,2752633.92564381,2183912.52920527,4092936.31739819,1435646.4881287,2118888.43173211,2070012.13351438,1501039.08937076,1480990.57606505,1701634.38368225,1399927.71606444,2313778.13983155,968767.294677749,2013387.38952633,2647160.03036497,1903115.05657963,1165817.43774413,12248.9408035272
PC (30:1),704.5 -> 184.1,PC,2579197.58837892,2081592.35324091,3980041.48707577,1449820.83581548,2180599.99456782,1972234.51556398,1473242.52960199,1523542.86190789,1707495.74838256,1497864.54739379,2493768.657791,1084896.78759768,2027231.96635437,2600973.40682984,1868594.02722172,1085049.98550418,12979.7609024071
PC (30:2),702.5 -> 184.1,PC,2675388.06158437,2028978.69963071,3911657.78660588,1528109.37118527,2360538.06098932,2082505.81057733,1440169.59922024,1235818.4250030401,1686916.14521786,1409077.90304566,2408492.91180416,998114.542877181,1921474.46298983,2706429.2943116,1787857.49371343,1059699.69577023,13074.0608749409
PC (32:0),734.6 -> 184.1,PC,1376168.73858639,1060026.63077538,2386864.90231314,797918.799469018,1123146.11219784,964895.821868951,747501.644287073,799831.94750977,865533.663742065,699384.689849325,1222079.20602418,543447.522720342,984790.389266959,1342234.93244926,889817.20936584,593451.405822787,10267.360733029
PC (32:1),732.6 -> 184.1,PC,1322576.87417607,1071396.28441619,2400280.78851324,793173.633438084,1110714.01734874,1024172.15748594,752969.886826091,828392.24200441,822201.37477875,653895.272384626,1241836.30014041,514584.710830709,983157.105621315,1304286.25787345,934739.100433398,607310.969314586,10169.8007316635
PC (32:2),730.5 -> 184.1,PC,1351793.78668211,1053894.46412657,2043243.34111023,848442.799362181,1041771.76948552,1049300.17466734,720555.06960298,842719.777832078,791805.941391483,659092.782379108,1207480.03039551,548938.049362189,1055082.52566527,1361096.3512574,876550.771789544,595426.509597754,10242.500701899
PC (32:3),728.5 -> 184.1,PC,1420240.44549555,1072436.70050054,2090355.28641511,806537.982315055,1092039.76969913,1087036.20532227,744495.06533814,803691.303100568,812656.568893411,657055.631621848,1210990.46376033,543252.775238043,964805.397750851,1367971.98957819,937227.464966308,573981.038497976,10055.340629575
PC (32:4),726.5 -> 184.1,PC,1535139.16043091,1285987.08749386,2476524.20639048,868046.417770414,1218714.3665924,1194818.57806396,851494.890304609,1003326.63627622,876510.816314641,752666.698928821,1427837.40341193,600761.920837399,1133173.96917727,1497176.75588991,1003154.75050352,681594.09311681,12037.660835264
PC (32:5),724.5 -> 184.1,PC,3379760.53918462,2572867.27198787,4933046.49865728,1828890.39643863,2638056.6552124,2452559.34204101,1686217.72953033,1865346.68222044,1851609.32794186,1708708.16213993,2782683.0402222,1203299.4309387,2657429.28910066,3059385.35818477,2270426.51385495,1408961.12496942,13803.8610229528
PC (34:0),762.6 -> 184.1,PC,2234378.76116941,1770440.61129759,5154729.42158507,1290277.69689939,1667752.97969059,1841918.58016973,1221457.11843877,1323320.30130011,1387247.00187684,1111684.78622436,1950019.22433473,831626.469970228,1739220.09751891,2235146.70422369,1523404.8623657,899697.666503942,11032.180877681
PC (34:1),760.6 -> 184.1,PC,2138497.25418095,1798137.56935875,4388202.07403562,1309557.1153564,1617198.61868281,1672249.2064819,1268921.75271605,1446787.70852661,1228631.79521945,1114606.15509797,1987771.87979124,714190.374907934,1628224.43099972,2159286.8096924,1705492.32420352,839531.069290641,11027.980728146
PC (34:2),758.6 -> 184.1,PC,2153987.17871094,1777824.96086126,3158712.44085748,1310548.27540582,1841702.31140142,1799206.33856205,1278459.53816221,1248177.83459469,1311069.23304752,1104403.65322877,1923621.36608891,797825.797164399,1614764.0239563,2278536.62103272,1598202.02679443,914080.258240259,11610.040817263
PC (34:3),756.6 -> 184.1,PC,2633859.30584714,2125273.42520128,3618924.76161195,1533311.6657715,1943050.47332761,2045732.20593255,1463190.11987305,1732638.42419429,1616219.8648681701,1306791.41000369,2293489.97897343,980487.430343638,1920147.03349305,2763230.60305796,1807733.69638057,1153364.0957031,15372.001022339
PC (34:4),754.5 -> 184.1,PC,3010177.70770254,2359612.59243769,3653475.51184018,1735150.24972543,2277784.31036377,2153936.37200919,1661529.99371333,1755886.62432867,1706389.32901002,1464138.07473747,2465329.24255365,1195394.8998718,2095582.21228021,2745453.3809814,2104396.22277834,1196640.81007382,14837.941101074
PC (34:5),752.5 -> 184.1,PC,2920255.7608643,2336690.18977364,5077525.80686956,1609262.73156739,2099110.82641607,2429062.54302986,1473955.85920714,1464742.1794433,1717988.47848515,1435473.73462677,2485389.06665037,1038903.26040649,2203808.42359165,2616539.60968014,1942077.80224612,1231716.88697814,14225.661010737
PC (34:6),750.5 -> 184.1,PC,1725423.94335936,1463113.96377553,3222702.92893984,1044537.77336119,1405312.69277956,1316916.27859502,885533.099990877,871780.741577153,1019695.21397402,825599.781738269,1542081.24380499,632384.197112997,1347968.40287782,1710281.68737795,1148986.23263548,801551.3149485,10235.88076019
PC (36:0); PCp(38:6),790.6 -> 184.1,PC,6285704.39584341,4813750.94198603,8809346.7766183,3183728.96707162,4391996.47113036,4534160.55700683,3300049.6116639,3276857.68573003,3552611.49760445,2874977.49829086,5219917.26489257,2016138.55838005,4028929.18733223,5545746.44406134,3893337.59625238,2464457.23062141,26663.3419876
PC (36:1),788.6 -> 184.1,PC,2991632.81414798,2276489.68524926,4618964.73500011,1629830.88632198,2209099.03260804,2080289.94458007,1525263.30343626,1597291.48924253,1614650.44306954,1351373.55715934,2551082.7643737,1036875.02447507,2070624.65589908,2725116.81741336,1945377.60974127,1233362.79025271,14339.901107781
PC (36:2),786.6 -> 184.1,PC,3230688.84533692,2340027.44142154,4420105.8575282,1529634.41941834,2165186.39077767,2090064.30981454,1548552.48663328,1492273.3471374,1780983.4770661,1428916.6804809,2576031.57940675,1011522.1815643,2086055.69621269,2631369.00454713,1848412.93524164,1283366.81422426,13808.661025999
PC (36:3),784.6 -> 184.1,PC,3774611.27597038,3062918.90142831,5593409.17649854,2108581.41287222,2867670.98614499,2820777.8778992,2089944.56359864,1944183.99090581,2190909.03282169,1889136.4254761,3362977.22814894,1363810.69271858,2512120.17950435,3791585.51489269,2611446.5734253,1620589.17315676,17109.58110046
PC (36:4),782.6 -> 184.1,PC,5187267.70501663,4007949.41427605,7796080.04779044,2747792.03561392,4034107.44100959,3707287.78814696,2810097.68664547,2851130.88565056,2884569.58911133,2496600.07193001,4568770.86657713,1909883.20404056,3770700.90988161,4761606.69781483,3413489.29443364,2000202.75158694,19072.181335443
PC (36:5),780.6 -> 184.1,PC,5106169.21270712,3810274.19624321,7872492.58297738,2603379.60159311,3576991.63769526,3549779.70532224,2657558.30435176,2765961.80029299,2819656.08050531,2304082.88150024,4224007.780457,1723913.89147957,3615856.6321716,4350130.03433235,3132019.21276861,1936219.6736451,19158.501419077
PC (36:6),778.5 -> 184.1,PC,3571720.60870364,2827105.90151929,6042638.63415536,2139950.99507136,2619288.76889037,2758086.03344736,1965267.77246091,2202630.2584534,2111591.35137948,1849613.43939218,3061459.20233161,1307591.67568976,2648101.03099071,3353576.86007691,2479094.96008291,1452464.16828923,15078.02113342
PC (36:7),776.5 -> 184.1,PC,2715699.18634029,2228308.19798274,5202643.71839901,1702274.09173587,2059458.12118523,1892639.58978264,1556231.71521001,1658661.70724484,1550107.88507088,1350964.06933587,2265094.11343389,1040458.83996579,1959696.05374138,2626567.6751862,1997552.79507448,1163746.47687536,13930.461128241
PC (36:8),774.5 -> 184.1,PC,2400434.03225705,1875914.63088981,4590654.32489024,1282532.79275517,1777646.60766598,1601175.90704346,1328455.03577425,1444488.56072996,1350699.30328371,1213597.90287781,2047423.72537227,858528.089691132,1839036.26086435,2300643.68420403,1699085.87184146,1022767.45312503,11849.180938721
PC (38:0),818.7 -> 184.1,PC,3154652.46572928,2525810.56657399,3518945.79072618,1814952.67063898,2341552.73202508,2308619.9786377,1596450.73896792,1884641.74114991,1844727.42159266,1529291.48365776,2843322.95187429,1236461.08071907,2088153.44425968,2730281.88439943,1851832.96527106,1397729.49378962,14168.341033937
PC (38:1),816.6 -> 184.1,PC,3221141.08337408,2456145.59267375,3512981.75241142,1860738.60151678,2457724.46441656,2319293.55175784,1667721.65579993,1894986.07049564,1887787.02106482,1515478.3242493,2685591.97387697,1185007.40328983,2316807.77890772,2837643.10211192,1930686.14782708,1415731.97139734,13335.420867924
PC (38:2),814.6 -> 184.1,PC,3364091.66506965,2574040.54823303,3671039.65330502,1795397.40692141,2536801.84854127,2497828.97692871,1821040.83259587,1976030.15740966,1895998.37522126,1669682.14474491,2915008.54763752,1308962.41787716,2386043.32156379,3116312.25140384,2025531.42718508,1417370.66136167,12724.000846866
PC (38:3),812.6 -> 184.1,PC,5189736.9257811,3860031.92800909,5050300.79360967,2616107.63972469,3850506.49468992,3565338.33978332,2578944.74517818,2918125.68228156,2869019.62895143,2345085.4315186,4338349.47650144,1778940.99096687,3474381.51165763,4792245.80871579,2884536.33178705,2021262.16433724,16958.881317139
PC (38:4),810.6 -> 184.1,PC,5694320.24279794,4455887.65371709,6474701.82415766,2873241.99896235,4214126.36639408,4167276.13970938,3055892.2166595,3143055.98342897,3048349.7215267,2814015.71591182,4788844.31231688,1979412.51296991,4157887.75025996,5214234.20904532,3434788.09509325,2443833.374649,20856.981338493
PC (38:5),808.6 -> 184.1,PC,5777660.66088863,4372493.86587507,6303361.70664977,3040217.28689567,4399750.53076173,4230001.17504896,3080649.48388688,3188000.32324218,3169834.30838067,2892320.25683595,5173845.12707506,2128272.42529299,4110272.65867623,5159379.29846194,3641411.85809339,2407117.50173945,20785.661560065
PC (38:6),806.6 -> 184.1,PC,5490555.73455807,4286304.24920653,6119173.08099365,3090609.0547485,4314021.00433349,4197163.55267391,2920411.26342774,3236150.05273436,3209015.86860662,2682307.9729309,4952073.40640277,2152054.95483388,3950494.73875414,5094808.45733646,3599177.50103763,2440872.9602357,21167.101531983
PC (38:7),804.6 -> 184.1,PC,5000750.17773445,3766915.9092407,5559072.52839665,2847151.43875125,3737940.45907603,3693595.94665518,2668256.82202141,2905018.28097535,2771824.82261653,2282357.09320065,4245637.57833863,1839703.14526376,3483853.13168332,4766239.14495844,3160010.157715,2286608.45312502,15466.660995486
PC (38:8),802.5 -> 184.1,PC,4101272.93353218,3153287.93638611,4387083.83277897,2208622.50233463,2978692.71435542,2889953.39291392,2169229.30210873,2286552.59420776,2233637.62411501,2038334.62405401,3383167.48510747,1530355.15847785,2821392.62269596,3504281.87512206,2450618.13134769,1704642.36758415,15852.161010742
PC (38:9),800.5 -> 184.1,PC,3645541.72531122,2817010.57205153,3970016.02978521,1874825.20593257,2600502.95556648,2713541.65478506,1870127.24212648,2031105.88122565,2008579.06868751,1630078.86175539,2984122.33316096,1265186.06661987,2437779.40345004,3196700.88882446,2214429.03082266,1493165.22943105,14480.500900267
PC (40:0),846.7 -> 184.1,PC,823895.242141751,734367.044242853,979467.47077944,525236.721840423,622623.733703557,593864.495956466,501904.474389094,531801.927574148,582011.080387133,530769.08189437,691025.819747924,375871.241218582,614261.484931945,761292.734420812,547007.681930501,411488.26373344,53903.8840294007
PC (40:1),844.7 -> 184.1,PC,706540.279159531,737761.391559592,962446.570640596,547667.781867503,669791.017181397,658573.137435904,571035.21179203,544385.315014412,623063.200012198,571275.615315018,742871.462089495,430838.077323913,628605.049911455,846448.730171225,553692.634712267,479630.177231811,50988.1639862339
PC (40:10),826.5 -> 184.1,PC,3346324.14810233,2713471.38542177,3278060.89679709,1892867.82200629,2469930.92407221,2486201.25781249,1722990.93245702,1963221.41037,1840044.84933472,1618124.11080939,2991009.87765505,1245188.29357906,2234898.66941829,3016752.91445929,1937220.78344728,1432595.89312741,11739.6608200072
PC (40:2),842.7 -> 184.1,PC,795887.538375874,744708.766754085,972179.768833175,579251.115387479,717343.970253016,693189.687583916,569144.933036806,574847.492660477,631102.658801981,585047.627777092,814283.792301123,428929.936568762,684125.115005489,896588.530479492,634512.40406798,460674.939537011,54657.5439758398
PC (40:3),840.6 -> 184.1,PC,1453659.12310787,1215584.46812442,1427650.88217169,853303.931175285,1135646.49143986,1062382.26170345,818683.224975609,830567.81597901,933916.699752834,858671.653900211,1300029.12384039,594142.37654119,1021520.53908149,1313718.56017297,886234.320617717,718644.138397209,58821.0836486601
PC (40:4),838.6 -> 184.1,PC,2549213.95843495,1823967.72904925,2666428.42280531,1338970.00654597,1855475.83469386,1844111.77664178,1421984.64901733,1405527.97540281,1506876.21534736,1393515.90286257,2341621.46562199,993251.83654791,1782057.12609859,2301082.66513058,1458564.68664551,1082671.98303226,51766.843246417
PC (40:5),836.6 -> 184.1,PC,2922650.35247805,2208924.54316712,3097638.67999268,1646694.70135497,2286507.07879642,2264742.49517827,1648676.28131093,1756876.72125254,1777865.73861692,1555463.00982667,2650523.98974563,1150212.39562987,2119677.44305422,2820935.49552905,1828742.87780764,1336593.17099002,26657.861740113
PC (40:6),834.6 -> 184.1,PC,3306979.76211591,2603937.36460123,3199347.03579712,1895797.93174745,2580574.72775269,2559289.28472895,1795584.00040432,1974755.14202876,1824648.41053777,1613887.88764955,2790256.50805677,1290475.40945433,2240057.63909911,3007040.3310241,1982033.24676514,1546215.15138237,14389.121047973
PC (40:7),832.6 -> 184.1,PC,3536089.57934607,2864469.56706244,3279884.36773729,1928797.47279352,2670363.28805545,2627017.8311768,1844326.78240965,2241087.66549683,2014574.38381199,1669993.97378541,2977449.78497307,1345264.83343515,2344553.78231811,2996979.2995601,2026786.27688599,1582888.95108025,13125.540847783
PC (40:8),830.6 -> 184.1,PC,3477728.72122251,2688536.76293948,3457521.84995265,1969041.54522698,2584267.32992559,2616529.80120847,1876355.81820688,2127193.4272767,1858027.3433495,1744343.26704397,2998012.4949036,1443434.21557612,2449560.07774364,3126151.99609318,2084216.80813601,1613905.11489863,14036.381088256
PC (40:9),828.6 -> 184.1,PC,3240178.35427853,2655553.0881958,3241247.03289795,1967746.7736664,2515358.85929867,2406430.62670895,1804271.27075201,1978584.37762442,1903350.00439457,1597242.47186272,2791687.50509599,1347984.83415225,2280516.18923953,2919523.73817434,2040788.83978271,1463109.06452947,14473.040969856
PC (42:0),874.7 -> 184.1,PC,87706.0046958532,76964.0661315528,281079.865051293,77030.3452720451,99771.0870666056,83785.3877943951,72423.0653915032,41715.2435760641,70570.264392839,66441.6437797432,81830.2458953761,31337.4227218349,85007.2868346681,121773.329315217,83872.2245102307,39196.0227584082,6844.4405059825
PC (42:1),872.7 -> 184.1,PC,177330.313972423,159465.709728239,353966.400249437,141676.572425865,86437.2253456038,92286.3860741114,94839.0659523315,78163.2663840258,178691.210487343,207189.195106455,181038.410812482,72705.5232048061,85628.0067634122,208036.479515503,80496.7048263716,80408.185279894,25704.0618362316
PC (42:10),854.6 -> 184.1,PC,763496.227363629,675627.697250413,852436.935668959,472921.218323269,568758.296768164,601271.163505082,501304.308434512,495413.475990317,520978.531933333,507727.324218797,659640.380973793,369911.828666676,567316.738800004,702833.22385786,545443.242226185,420045.571216574,32429.802059125
PC (42:11),852.6 -> 184.1,PC,761672.728317285,660085.926074979,912560.572967563,464396.879787478,575936.223915631,584853.153747109,504002.234088403,480671.723777277,553466.179519674,528796.683867947,683237.569679288,376827.597770681,564897.882720477,729181.914505052,491855.287841771,401068.250701868,28855.3424682548
PC (42:2),870.7 -> 184.1,PC,174887.775257112,176689.077583318,353707.070102719,153810.226543373,86849.6244202202,170498.110244776,101328.14886096,84651.5068550111,199387.192118995,228927.873359628,199378.430023291,78421.1250764171,92149.4859658358,222522.051677196,164756.29216772,79676.9662284318,26660.8621978726
PC (42:3),868.7 -> 184.1,PC,189577.953372951,180573.212787665,375595.604919384,87255.546341025,167804.92866902,163928.288902201,175784.773254345,151446.58810799,205057.276767278,139911.668567652,206375.413547416,83904.5454216724,89847.5863494536,235784.111610361,91231.7059173367,90966.3449821241,27648.4422035197
PC (42:4),866.7 -> 184.1,PC,206896.016597806,197111.709354449,376095.300060271,198839.796299532,179316.354003808,180878.337898282,186199.534218363,175657.137141679,210657.814575199,223533.23109486,221212.911651619,152220.73083875,179288.011310077,253905.39647669,103731.669681553,101188.587375637,29397.1420517003
PC (42:5),864.6 -> 184.1,PC,275420.940703898,252850.976188616,411518.68921327,264233.356758121,217780.119033264,245511.394779257,245666.602096514,246718.33219523,258966.825164739,269486.625709526,272272.82306721,207424.250263168,223727.493934081,310084.095306399,127502.406631345,223762.45235394,25787.5618972738
PC (42:6),862.6 -> 184.1,PC,615791.580353256,540141.859428351,615475.067600252,407397.073284181,515541.904060853,482705.03686849,432142.214035056,451601.849143531,459893.631259915,461570.069183375,562348.51476292,344475.679138178,478928.397941553,637788.186912555,449770.187423702,359820.432788821,30816.521514886
PC (42:7),860.6 -> 184.1,PC,865997.504730274,764253.213478157,766628.764030434,556741.668124603,691379.634719856,681189.361038155,536649.042099504,581221.389556334,649787.398033106,621650.42699432,735659.834835048,411760.419433645,643328.164856489,843702.804611236,623220.472549468,483116.687995884,32289.4424743099
PC (42:8),858.6 -> 184.1,PC,810214.606819138,729056.082229656,759296.375801075,533244.531860384,611373.350601201,603275.860588046,539679.015578195,541135.606033284,559109.024803134,529806.289367668,720526.355728198,404274.715423566,599493.25593562,813517.974060007,544163.849556021,470746.750991266,31946.3027686912
PC (42:9),856.6 -> 184.1,PC,737923.427413985,697747.723457339,756665.670623764,513889.974830069,566401.126495369,563510.932949048,519494.158103953,527836.290077248,555501.515266405,540392.286545326,673124.278518665,410607.43301393,560669.627532443,780461.600498164,526279.915320317,400450.333534286,29795.5221328368
PC (44:0),902.8 -> 184.1,PC,12984.6608810414,13852.361026765,67202.9439201223,15075.4210624657,10767.0608749428,16696.8013992389,12352.9208221407,14360.8610534654,12572.8208312845,10197.8006515516,13414.0008773788,12924.7610321017,13786.0408477827,25476.1418762636,19459.3409614528,8689.5205001799,2963.4002265923
