"lipid","type","logFC","logCPM","LR","PValue","FDR","SolventBlank","5A","5C","5D","5E","4A","4C","4D","4E","mean1","mean2"
"18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester","CE",-0.0433714893193474,8.84201124443505,0.0184494623608771,0.891956624539347,0.999955892769757,65618.76452636,690454.508941629,520366.538452013,411757.004577692,395472.92462155,474490.491821218,472881.756622263,432718.368011559,403790.426818844,445970.260818471,504512.744148221
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester","CE",-0.08531759647283,8.8605359825601,0.0713847449260356,0.789331161365065,0.999955892769757,66368.984466559,675298.850189356,518270.551559534,415967.648651194,385752.007110407,489754.97460952,481769.192199827,458658.511825491,426508.790832707,464172.867366886,498822.264377623
"18:3 Campesteryl ester","CE",-0.032631943238266,8.78905902076752,0.0104440171662645,0.918601123058102,0.999955892769757,68087.044769277,662322.423706118,493983.876281716,402181.563110423,391767.606231736,476166.435760461,450245.290222253,379468.430755682,399932.987152019,426453.285972604,487563.867332498
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester","CE",-0.0928817570202408,8.89960865342189,0.0846014021008159,0.771155945880373,0.999955892769757,75326.745574951,675050.385284594,535706.21530147,426900.231964042,416941.79043575,490122.03570564,492119.134704684,467391.116607763,444394.839477717,473506.781623951,513649.655746464
"19:0 Campesteryl ester_simulated","CE",0.00215734271017028,7.04627953701919,4.56462323654705e-05,0.994609373699322,0.999955892769757,92507.0466919069,132399.129577597,134137.20916745,115899.008117684,120620.269012458,127430.688842782,130787.589660634,121657.108886715,121468.548645014,125335.984008786,125763.903968797
"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated","CE",-0.0367225142887109,8.63179657737295,0.0132264350331752,0.908440176769257,0.999955892769757,66404.944946291,580499.198699897,446119.449371312,355944.706542995,350327.966003377,428813.87014781,405724.926590044,332413.563964873,372139.101775998,384772.865619681,433222.830154395
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine","AC",0.00254533083745924,9.60857576158919,6.35453852737555e-05,0.993639701907372,0.999955892769757,600726.88330077,647735.06347648,860428.26953114,692998.90869161,737512.70654294,648883.32617202,748510.128906211,828449.73974622,709879.81152353,733930.751586995,734668.737060542
"20:0 Campesteryl ester","CE",0.0572207012229671,7.02298778410858,0.0321102172378005,0.85778597156978,0.999955892769757,91109.726715085,131496.809692355,135751.829650898,120397.388336189,114270.808654778,122044.449371334,126165.548889167,122986.748840345,115277.468505865,121618.553901678,125479.209083555
"20:0 Cholesteryl ester, 18:0 Sitosteryl ester","CE",0.0176299290410092,7.05661895871063,0.00304834918597408,0.955969682590314,0.999955892769757,92036.586273186,138330.329650874,136721.269531263,118012.548278803,119675.188568113,128173.529449452,131887.909088161,125657.788879405,114831.828002937,125137.763854989,128184.834007263
"20:1 Campesteryl ester","CE",0.0376492314679077,7.03982387265671,0.0139016305255382,0.906142792010145,0.999955892769757,89904.765991196,139771.049316384,133069.809875498,119573.54888918,121522.228576647,128256.408996581,124542.948608416,120649.748168931,114695.148315433,122036.06352234,128484.159164427
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester","CE",0.024743404117536,7.04038602105067,0.00600453190838834,0.938234609510589,0.999955892769757,90096.54641724,136503.189514151,135362.829101568,114929.188751247,119155.108551001,123907.568603512,127627.708862303,123463.208862266,121900.66812135,124224.788612358,126487.578979492
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester","CE",0.0204695010380689,7.04438448983235,0.00410938343651424,0.948887040372386,0.999955892769757,97097.2867126319,132256.929260246,132260.089477554,116768.708129883,119419.248168965,128819.648376461,130707.509704614,119787.0888672,117180.848022459,124123.773742683,125176.243759162
"20:3 Campesteryl ester","CE",0.0716233410417875,7.03218615296948,0.0503071886141697,0.822529602318751,0.999955892769757,91301.62677002,135636.730041484,138598.210388177,117525.568145774,113316.948303212,125249.668701192,127139.728332513,118840.228515578,118849.768585192,122519.848533619,126269.364219662
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester","CE",0.0771852811983605,7.03412666432961,0.0584228402699409,0.809006297182633,0.999955892769757,94256.205932629,139702.730224599,135991.670135512,113486.608154328,113005.30792239,124654.268127424,126458.988586413,119626.38739015,120042.868286131,122695.628097529,125546.579109207
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester","CE",-0.0123337140805162,6.89886635671482,0.00149192987680635,0.969188964933062,0.999955892769757,80548.125610351,125171.688964828,121914.78918458,100179.606750489,108576.108215341,116156.948455762,119236.787597664,110695.528320302,108772.427581774,113715.422988876,113960.548278809
