"lipid","type","logFC","logCPM","LR","PValue","FDR","I7-1","I7-2","I7-3","I7-4","S7-1","S7-2","S7-3","S7-4","Blank","mean1","mean2"
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine","AC",0.0201285710144774,9.68867044058508,0.00913938434359807,0.923838164078082,0.999799278063257,230038.337158166,197566.034576403,149179.110717765,200881.454284617,162190.471313459,198322.453582699,201617.81442263,231972.59582518,407937.02636723,194416.234184238,198525.833785992
"20:0 Campesteryl ester","CE",0.00456357568572256,9.60741121722071,0.000469798384642672,0.9827073394298,0.999799278063257,227138.816650312,229167.155029278,201155.034301697,229595.757751543,219019.114990275,245958.597473265,223954.356140141,229387.895934942,149035.790832473,221764.190933207,229579.991134656
"20:0 Cholesteryl ester, 18:0 Sitosteryl ester","CE",0.0432242503946814,9.76461143910356,0.0421448528898907,0.837343903408507,0.999799278063257,243065.317749116,268830.600891132,219662.67639158,270835.979308971,239893.117309339,264440.419250501,240258.476257353,265841.258483739,165516.872253359,250598.6435852,252608.317825233
"20:1 Campesteryl ester","CE",0.00260165009515756,9.89055809610055,0.000152688753587427,0.990141007537563,0.999799278063257,262024.458251943,295275.980346628,244822.577514528,298967.842712396,266498.176940993,305825.263061401,265458.537963742,305056.840942408,146458.690246584,275272.714706374,285709.704727136
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester","CE",0.0248691233029639,9.79113225377255,0.0139515401669996,0.905975240537347,0.999799278063257,252548.11804189,264608.218688906,217474.734313925,279346.459106447,239626.356506254,279026.020935162,243673.677673405,273849.698120146,169522.072387661,253494.382537792,259043.938308742
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester","CE",0.0399426740163928,9.778766682688,0.0359887396027716,0.849538748118413,0.999799278063257,246768.157104423,277244.838806116,213747.71569823,273235.65917974,237310.598022408,272375.658752403,243059.038451962,269043.420044061,167682.072021442,252749.092697127,255447.178817708
"20:3 Campesteryl ester","CE",-0.0110532940534073,9.90910347978818,0.00275608531592297,0.958131545049574,0.999799278063257,269030.220947388,298011.082763792,239207.896301308,299736.65978994,270427.957153367,309070.680969188,268021.359496898,310976.441528283,154949.0515747,276496.464950607,289624.109786934
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester","CE",0.00356420668475298,9.75835032759503,0.000286570551907062,0.986493740202657,0.999799278063257,239070.377929661,267926.719787752,205997.414245567,273165.060790945,239853.79614268,267400.518493523,238845.298706017,275910.278503411,162328.83123775,246539.893188481,255502.472961408
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester","CE",0.00849557241103616,9.49540405909071,0.00162810648691902,0.967814250168953,0.999799278063257,202548.453369183,223744.974914486,180951.393310563,223483.29724116,208201.35382067,221294.196960221,194791.373474204,233395.535949851,124171.468688989,207682.029708848,214420.615051236
"20:5 Cholesteryl ester","CE",-0.00469307070098247,8.81360429041269,0.000496806123237548,0.982217305291195,0.999799278063257,129084.387878448,145767.669769245,108991.226730345,156933.431114055,137509.748527491,160311.510383671,112130.507385209,155813.929390036,38769.242919928,135194.178873023,141441.423921602
"22:0 Campesteryl ester","CE",-0.0393302229702387,6.6311939669597,0.034868361196871,0.851871769891804,0.999799278063257,23819.8418197704,31291.4021530146,25662.661693565,29627.6822433659,27711.1821174535,33294.7424240043,28393.9619979761,28740.8422012304,19671.5613098115,27600.396977429,29535.1821851661
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester","CE",0.0400649484268961,8.00070958227845,0.0362020691401028,0.849098803945587,0.999799278063257,80586.4653663693,90870.986171716,67839.2840347366,75081.7258987481,76738.0255889843,87205.0460205011,69341.1247138931,84441.3449859651,20333.5613670404,78594.6153678925,79431.3853273359
"22:0 Sitosteryl ester","CE",-0.0158570567019539,7.16461444391533,0.0056681056026946,0.939986506055767,0.999799278063257,24513.5218124355,29964.4422149791,26534.4818916418,31020.7220802306,25518.1818122823,35230.2625427201,27553.9018821775,29957.181716918,102977.567970288,28008.2919998218,29564.8819885245
"22:1 Campesteryl ester","CE",0.0127979466088768,6.73163776639051,0.00369230549836175,0.951546887212927,0.999799278063257,28379.122032167,33869.0422935418,25587.0617675676,33492.522411354,27679.2621230937,36976.0426406834,29304.3218803475,31428.221969606,19981.7613830532,30331.9371261576,31346.9621534327
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester","CE",-0.0502096822221643,8.01826559405923,0.0568556028355971,0.811536643948529,0.999799278063257,79385.644622799,84233.046234121,67363.6850166288,78893.1855773966,81531.4452667132,90936.9667396445,75815.7256317111,85133.2257308792,18020.0013313376,77468.8903627363,83354.340842237
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester","CE",-0.0530783825898312,7.13113822490789,0.0635050802272303,0.801039407142963,0.999799278063257,25574.2618446269,28024.7219657932,27854.3820495485,30181.2222785884,26995.7219733889,33551.0623359624,31213.5821342396,28772.6620292487,95104.1465606282,27908.6470346393,30133.2571182099
"22:2 Campesteryl ester","CE",-0.0644259783873711,7.22871070690024,0.0935846510328986,0.759668538689205,0.999799278063257,39931.4233551058,46142.5437622,40092.9829063431,44233.8236236561,43820.4235725396,52996.3840446387,43484.6233138986,45246.8632163981,22464.4814453063,42600.1934118263,46387.0735368687
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester","CE",0.0651623950640255,6.6807134709857,0.0957065118010973,0.757044126642109,0.999799278063257,23759.6218414384,30161.7821350064,29640.482028961,28415.0223274246,25576.5616684039,29943.4621086075,27768.0822181738,28028.7417869509,29883.0822868281,27994.2270832076,27829.211945534
